"Abrams, Charles"
"Abrons, Louis"
"Acheson, Dean"
"Adams, Francis W.H."
"Adler, Julius Ochs and Mrs."
"Aiken, George D. and Mrs."
"Akers, Anthony B. and Mrs."
"Aldrich, Winthrop"
"Alfange, Dean"
"Allen, Mary Findlay"
"Allot, Gordon"
"Alphand, Herv&eacute;"
"Alsop, Joseph"
"Alsop, Stewart"
"Altschul, Frank and Mrs."
"Altschul, Jerome"
"Altschul, Julius"
"American Jewish Joint Distribution Committee"
"American Labor Party"
"Americans for Democratic Action"
"Anderson, Clinton P."
"Aranha, Oswaldo"
"Armstrong, Sir Henry and Lady Margaret"
"Asch, Sholem"
"Athengoras, Archbishop"
"Atlee, Clement R."
"Austin, Warren R."
"Avery, Wallace C."
"Avon, Earl of (Anthony Eden)"
"Backer, George"
"Baerwald, Paul"
"Bailey, John M."
"Baker, Newton D. and Mrs."
"Baker, Philip Noel"
"Baker, Robert G."
"Balch, Richard H."
"Baldwin, Faith"
"Baldwin, Roger"
"Ball, George W."
"Ball, Joseph H."
"Ballantine, Arthur A."
"Barkely, Alben W."
"Barrett, Edward W."
"Barrett, Frank A."
"Barrymore, Ethel"
"Bartlett, E.L."
"Baruch, Bernard"
"Battle, George Gordon"
"Beame, Abraham D."
"Beard, Daniel Carter"
"Ben Gurion, David"
"Ben-Zvi, Izhak"
"Benes, Edward"
"Bennett, John J."
"Bennett, Wallace F."
"Benson, Ezra Taft"
"Benton, William"
"Berendensen, Sir Carl A."
"Berg, Albert A."
"Berle, Adolf A., Jr."
"Berle, Adolf A., Sr."
"Berlin, Isaiah"
"Bernays, Edward L."
"Bernhard, Dorothy Lehman"
"Bethune, Mary McLeod"
"Bevin, Ernest"
"Bible, Alan"
"Biddle, Francis and Mrs."
"Biffle, Leslie L."
"Bingham, Barry"
"Bingham, Jonathan and June"
"Black, Algernon D."
"Black, Hugo L."
"Bladridge, H. Malcolm"
"Blair, William McCormack"
"Blake, Eugene Carson"
"Blatnik, John A."
"Block, Herbert &quot;Herblock&quot;"
"Bloom, Sol"
"Bok, Mrs. Curtis (Nellie Lee)"
"Boland, John P."
"Bolling, Richard"
"Bonbright, James C."
"Bonnet, Henri"
"Botein, Bernard"
"Bouvier, John Vernon"
"Bowers, Claude G."
"Bowles, Chester and Mrs. Dorothy Stebbins"
"Boyle, William M., Jr."
"Bradley, Omar N."
"Bragdon, Paul E."
"Brandeis, Louis D."
"Brannan, Charles F."
"Bray, M. William"
"Bricker, John W."
"Bridges, Styles"
"Broderick, Joseph A."
"Brogan, Dennis W."
"Brooks, Van Wyck"
"Brown, Earl"
"Brown, Edmund G. &quot;Pat&quot;"
"Brown, Richard A."
"Brown, Walter T."
"Bruce, Howard"
"Bruce, James C."
"Bruggman, Charles"
"Brunkard, Thomas V."
"Buck, Pearl S."
"Buckley, Charles"
"Bullock, Hugh and Mrs. (Marie)"
"Bunche, Ralph"
"Bundy, McGeorge"
"Burke, John S."
"Burke, Thomas A."
"Burlingham, Charles C."
"Burton, Harold H."
"Bush, Prescott"
"Butler, Hugh"
"Butler, Nicholas M."
"Butler, Paul M."
"Byrd, Harry F."
"Byrd, Richard E."
"Byrd, Robert C."
"Byrnes, James F."
"Cabot, Hugh"
"Cadogan, Sir Alexander"
"Cain, Harry P."
"Calloway, Cab"
"Campbell, Levin H., Jr."
"Canavan, Joseph and Mrs. Josephine"
"Cannon, Clarence"
"Cannon, Howard W."
"Cantor, Eddie"
"Capehart, Homer"
"Cardozo, Benjamin"
"Carey, James B."
"Carlson, Frank"
"Carlton, Winslow and Mrs. Margaret"
"Carman, Harry J."
"Carnegie, Dale"
"Carson, John"
"Casals, Pablo"
"Case, Albert C."
"Case, Clifford P."
"Case, Francis"
"Cashmore, John"
"Cass, Edward R."
"Cassin, Rene"
"Catt, Carrie Chapman"
"Caustin, Harold E."
"Cavanaugh, Edward F. and Mrs. Nancy"
"Celler, Emanuel"
"Chadbourne, William M."
"Chamberlain, Joseph P."
"Chandler, Albert B."
"Chapman, Oscar L."
"Chapman, Virgil M."
"Chavez, Dennis"
"Childs, John L."
"Church, Frank"
"Churchill, Winston and Mrs."
"Ciechanowski, J."
"Cieplinski, Michel"
"Clark, Joseph S., Jr."
"Clark, Thomas Campbell"
"Clay, Lucius D."
"Clayton, William L."
"Clements, Earle C."
"Clinchy, Everett R."
"Cohan, George M."
"Cohen, Benjamin V."
"Cohen, Myer"
"Cohen, Wilbur J."
"Cohn, Albert"
"Cohn, Alfred E."
"Comay, Michael"
"Commager, Henry Steele"
"Connally, Eugene P."
"Connally, Tom"
"Conway, Albert"
"Coolige, Grace G."
"Cooper, John Sherman"
"Corcoran, Thomas L. J. and Mrs."
"Cordon, Guy"
"Corscadden, Arthur"
"Costikyan, Edward N."
"Coudert, Frederic R."
"Counts, George S."
"Cousins, Norman"
"Cox, James M."
"Cox, Oscar"
"Cronkite, Walter"
"Crosby, Bing"
"Cross, Wilbur L."
"Crum, Bartley C."
"Cummings, Homer"
"Curie, Eve"
"Cushing, Richard"
"Dailey, Vincent"
"Dairymen&#039;s League"
"Dall, Curtis"
"Dalton, Hugh"
"Damrosch, Walter"
"Daniels, Jonathan"
"Daniels, Josephus"
"Dann, Hermann"
"Darby, Harry"
"Davidson, George F."
"Davidson, Irwin D."
"Davies, Joseph E. and Mrs."
"Davis, Benjamin O."
"Davis, Elmer"
"Davis, John W."
"Davis, Norman H."
"Davis, William H."
"Day, Edmund Ezra"
"Dayan, Moshe"
"De Kaufman, Henrik"
"De Sapio, Carmine G."
"De Valera, Eamon"
"Delafield, Frederick P."
"Democratic National Committee"
"Dempsey, Jack"
"Desmond, Charles"
"Desmond, Thomas and Mrs. Alice"
"Dewey, Thomas"
"Dewson, Mary W."
"Diamantopoulos, C."
"Dillon, Douglas"
"Dirksen, Everett McKinley"
"Dodd, Thomas J."
"Dollinger, Isidore"
"Donahue, Stephen J."
"Donovan, William J."
"Dort, Dallas"
"Douglas, Helen Gahagan"
"Douglas, Lewis W."
"Douglas, Paul &amp; Mrs. Emily Taft"
"Douglass, William O."
"Dowling, Eddie"
"Dreier, Mary"
"Drum, Hugh A."
"Dryfoos, Orvil E."
"Dubinsky, David"
"Dudley, Edward R."
"Duff, James H."
"Duffus, Robert L."
"Duggan, Stephen"
"Duke, Angier Biddle"
